epoch,global_step,loss,lr,elapsed_s
1,1,2.947264,2.00e-04,2.0
1,51,1.607827,2.00e-04,74.2
1,101,1.418046,2.00e-04,145.2
1,151,1.855738,2.00e-04,216.9
1,201,1.275316,1.99e-04,288.1
1,251,1.215081,1.99e-04,359.6
1,301,1.417243,1.99e-04,431.1
1,351,1.165269,1.98e-04,502.8
1,401,1.109264,1.98e-04,574.1
1,451,1.239203,1.97e-04,645.3
1,501,1.218947,1.97e-04,716.5
1,551,1.073636,1.96e-04,787.9
1,601,1.088331,1.95e-04,858.9
1,651,1.196415,1.95e-04,932.3
1,701,1.111678,1.94e-04,1005.0
1,751,1.097912,1.93e-04,1076.6
1,801,1.189139,1.92e-04,1148.5
1,851,1.117219,1.91e-04,1221.3
1,901,1.009982,1.90e-04,1294.7
1,951,0.874848,1.89e-04,1367.4
1,1001,1.012190,1.87e-04,1439.5
1,1051,1.019929,1.86e-04,1513.2
1,1101,1.133757,1.85e-04,1585.4
1,1151,1.220047,1.83e-04,1660.0
