t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-9.03,0.52,-0.01,1,0,,,,0.0,0.0,7.0,,,,,
0.05,ACQUIRE,0.01,-0.01,-9.03,0.69,-0.01,1,0,,,,0.0,0.0,0.9,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.13,0.87,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.13,1.04,-0.01,1,0,,,,0.0,0.0,0.6,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.23,1.22,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.23,1.39,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.32,1.57,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.32,1.74,-0.01,1,0,,,,1.31,0.16,2.0,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.4,1.92,-0.01,1,0,,,,1.35,0.17,2.5,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.4,2.09,-0.01,1,0,,,,1.35,0.18,1.9,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.47,2.27,-0.01,1,0,,,,1.35,0.19,2.5,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.47,2.44,-0.01,1,0,,,,1.35,0.19,1.8,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.53,2.62,-0.01,1,0,,,,1.33,0.19,2.3,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.53,2.79,-0.01,1,0,,,,1.33,0.19,1.9,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.58,2.97,-0.01,1,0,,,,1.32,0.19,2.5,,,,,
0.75,ACQUIRE,0.01,-0.01,-9.58,3.14,-0.01,1,0,,,,1.32,0.19,1.7,,,,,
0.8,ACQUIRE,0.03,-0.01,-9.62,3.32,-0.01,1,0,,,,1.3,0.19,2.3,,,,,
0.85,ACQUIRE,0.03,-0.01,-9.62,3.49,-0.01,1,0,,,,2.612,0.102,1.7,,,,,
0.9,ACQUIRE,0.06,-0.01,-9.64,3.67,-0.01,1,0,,,,2.448,0.085,2.4,,,,,
0.95,ACQUIRE,0.06,-0.01,-9.64,3.84,-0.01,1,0,,,,2.322,0.083,1.7,,,,,
1.0,ACQUIRE,0.11,-0.01,-9.66,4.02,-0.01,1,0,,,,2.206,0.091,2.4,,,,,
1.05,ACQUIRE,0.11,-0.01,-9.66,4.19,-0.01,1,0,,,,2.114,0.106,1.7,,,,,
1.1,ACQUIRE,0.17,-0.01,-9.67,4.37,-0.01,1,0,,,,1.98,0.098,2.3,,,,,
1.15,ACQUIRE,0.17,-0.01,-9.67,4.54,-0.01,1,0,,,,1.911,0.127,1.7,,,,,
1.2,ACQUIRE,0.26,-0.01,-9.67,4.72,-0.01,1,0,,,,1.819,0.148,2.3,,,,,
1.25,ACQUIRE,0.26,-0.01,-9.67,4.9,-0.01,1,0,,,,1.765,0.159,1.7,,,,,
1.3,ACQUIRE,0.36,-0.01,-9.67,5.07,-0.01,1,0,,,,1.653,0.165,2.5,,,,,
1.35,ACQUIRE,0.36,-0.01,-9.67,5.25,-0.01,1,0,,,,2.616,0.345,1.8,,,,,
1.4,ACQUIRE,0.49,-0.02,-9.67,5.42,-0.01,1,0,,,,2.589,0.358,2.4,,,,,
1.45,ACQUIRE,0.49,-0.02,-9.67,5.6,-0.01,1,0,,,,2.657,0.373,1.8,,,,,
1.5,ACQUIRE,0.64,-0.03,-9.66,5.77,-0.01,1,0,,,,2.621,0.361,2.4,,,,,
1.55,ACQUIRE,0.64,-0.03,-9.66,5.95,-0.01,1,0,,,,2.686,0.365,1.9,,,,,
1.6,ACQUIRE,0.8,-0.04,-9.65,6.12,-0.01,1,0,,,,2.66,0.366,2.5,,,,,
