t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.92,0.51,-0.01,1,0,,,,0.0,0.0,2.2,,,,,
0.05,ACQUIRE,0.01,-0.01,-9.03,0.67,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.1,ACQUIRE,0.01,-0.01,-9.03,0.82,-0.01,1,0,,,,0.0,0.0,0.6,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.13,0.97,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.13,1.12,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.23,1.27,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.23,1.42,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.32,1.57,-0.01,1,0,,,,1.21,0.15,2.7,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.32,1.72,-0.01,1,0,,,,1.3,0.16,1.8,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.39,1.87,-0.01,1,0,,,,1.33,0.17,2.4,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.39,2.02,-0.01,1,0,,,,1.33,0.18,1.8,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.46,2.17,-0.01,1,0,,,,1.32,0.18,2.5,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.46,2.32,-0.01,1,0,,,,1.32,0.19,1.8,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.52,2.47,-0.01,1,0,,,,1.31,0.18,2.4,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.52,2.62,-0.01,1,0,,,,1.31,0.18,1.7,,,,,
0.75,ACQUIRE,0.02,-0.01,-9.57,2.77,-0.01,1,0,,,,1.29,0.18,2.4,,,,,
0.8,ACQUIRE,0.02,-0.01,-9.57,2.92,-0.01,1,0,,,,1.29,0.18,1.8,,,,,
0.85,ACQUIRE,0.04,-0.01,-9.6,3.07,-0.01,1,0,,,,2.858,0.163,2.3,,,,,
0.9,ACQUIRE,0.04,-0.01,-9.6,3.22,-0.01,1,0,,,,2.686,0.135,1.7,,,,,
0.95,ACQUIRE,0.08,-0.01,-9.63,3.37,-0.01,1,0,,,,1.937,0.044,2.3,,,,,
1.0,ACQUIRE,0.08,-0.01,-9.63,3.52,-0.01,1,0,,,,2.416,0.08,1.8,,,,,
1.05,ACQUIRE,0.13,-0.01,-9.64,3.67,-0.01,1,0,,,,2.276,0.356,2.3,,,,,
1.1,ACQUIRE,0.13,-0.01,-9.64,3.82,-0.01,1,0,,,,2.185,0.325,1.8,,,,,
1.15,ACQUIRE,0.2,-0.01,-9.65,3.97,-0.01,1,0,,,,2.077,0.323,2.2,,,,,
1.2,ACQUIRE,0.2,-0.01,-9.65,4.12,-0.01,1,0,,,,2.007,0.311,1.8,,,,,
1.25,ACQUIRE,0.3,-0.01,-9.65,4.27,-0.01,1,0,,,,1.881,0.283,2.5,,,,,
1.3,ACQUIRE,0.3,-0.01,-9.65,4.42,-0.01,1,0,,,,1.826,0.274,1.8,,,,,
